Geno	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32
BESC-1007	-0.029685537157496	-0.0425755220347352	-0.0129683823120206	-0.0939337084156989	0.0203001564416793	-0.00641774896492811	-0.0531570049592717	-0.0197148256883394	0.00826817143441366	0.0123742063925421	-0.00639869978143171	0.00218738783528304	-0.00884804505862775	0.00246994062693339	0.0192348077573357	0.0014896212134841	0.00142045377577354	-0.000349667940111188	-0.0233898270537999	0.0231616171291036	-0.0146928741738961	0.0114783861681697	0.0137213134666839	0.018273606547849	-0.025891554864092	0.0181971850117181	-0.0228422365951099	-0.00223057577966073	0.0306929917821632	-0.0128534468675527	-0.00819093115051792	-0.0259277867311587
BESC-1008	-0.0317486997701274	-0.0423846998211949	-0.0137820133040379	-0.0994388894189937	4.19218968308299e-05	0.000390708494780952	-0.0539103213453109	-0.0107842867814556	0.0120822412089718	0.00421540132945759	-0.00322811912236188	0.00670462529318791	-0.00575861970036664	0.00630975838973484	0.0221743938289269	-0.00243624851412621	0.0148578414106563	0.016203722252796	-0.0225157457500305	0.016033087386206	-0.00272404761306333	0.00887630462755991	0.00520823359360187	0.0366908860138914	-0.0251492419395368	0.009134980657987	-0.0128636171330597	-0.00250088216317367	-0.0148488118638814	-0.00788357863046424	0.00423075613935866	-0.00306501316477105
BESC-1009	-0.0311678963501829	-0.0449711182503773	-0.014155170747188	-0.101505349799035	0.00321656417152659	0.00103508553154616	-0.0551900451427588	-0.0126138152987507	0.0175378760474118	0.00295288089611391	-0.00260273598915304	0.00820802580702413	-0.0102505309779476	0.000546042643716428	0.0195610167805673	0.00427920722141534	0.0112229265101765	0.0108554775607116	-0.0276490746988184	0.0191468615933682	-0.000249876073363374	0.0138011467987881	0.00558740459727141	0.0283373046382946	-0.0388993338992639	0.0214416846062072	-0.0142919346467161	-0.00224488068664506	-0.0104241759748088	-0.00978255997358592	0.00788207668212629	-0.00556191429581511
BESC-101	-0.000568808519696834	-0.0529375000039587	0.0392588432329785	0.0250133191093828	-0.0256246056529273	0.0167451308203071	0.0113134122360981	0.0170231443896547	-0.00305626252468579	-0.0146132904182265	-0.0291098723149625	-0.0106285639738358	-0.000684399715063884	0.00622777393256059	0.00151030467175909	0.00896152013673331	0.006675888664621	0.00631942901964871	0.00709430324470221	-0.00249750880369218	-0.000280692488799411	0.0062230637182432	0.00233679699389746	0.018949808263837	-0.0256193470189958	0.0167346641607477	0.01967574654186	0.00178230039343327	-0.0183309911825565	0.0290567261097783	0.0326032294690196	-0.0417732799459734
BESC-1010	-0.0275206263149447	-0.0429575055074324	-0.00888341507878845	-0.0933953793358794	0.0308360617001153	-0.0113206862217258	-0.0631039090628979	-0.0062177818845344	-0.0208697476336988	0.0377601694210909	0.0138994831133442	0.0296183344180624	0.00173406638845929	0.0087999657208353	0.00360843942962455	-0.000985872842508554	-0.000869622127704304	0.000783735095567213	-0.0207472540979114	0.0199145163829968	-0.0183205626009815	0.0139801527151235	0.0098690254737975	0.0252291933704013	-0.029135976998531	0.0174203994016153	-0.0232335339272435	0.00427718411691388	-0.00707321140413313	-0.0178492712853149	0.0088989061487356	-0.0203865244503882
BESC-1011	-0.0324248374936049	-0.0449688525141441	-0.0132722881720512	-0.0968940170281735	0.0106454898934124	-0.000126983926360356	-0.049743618444934	-0.0227773058941485	0.0122853277176113	0.00120137575875253	-0.00917356513579992	-0.00718342435382894	-0.0119746600841177	0.000994056446649887	0.0171079733488653	0.00195479723083298	0.00470048904389757	0.00580743073036734	-0.021423325639939	0.00658410353815277	-0.00230276918444248	0.00445395633784844	-0.00065751427876593	0.00898197541946425	-0.0194666155879788	-0.000572502525414086	-0.0229791210623498	0.00988564620131442	0.0117572820523004	-0.0107562229346008	-0.00446885168115305	-0.0496255367088233
BESC-1012	-0.0304547959920231	-0.042270684254381	-0.0141912644722817	-0.0997379755862674	0.00518132889107193	0.0019110533734718	-0.0512369779213938	-0.0125250940172126	0.0147821514142954	0.00226737071432117	-0.00731514466994335	0.000121073425483449	-0.00934396794133314	0.00453996559513413	0.0198533605967477	0.00249546574396367	0.0195044549136866	0.0110022410887042	-0.0261049966273146	0.0168038215573277	-0.00546385055147988	0.0220290631194333	-0.000932357861058672	0.0313814865441549	-0.0383161519993379	0.00797418653156481	-0.00682748534110727	-0.00803247267795546	-0.00180194481787091	-0.00140991092058872	0.00877952701509316	-0.00447133159379282
BESC-1013	-0.030949285068537	-0.0423025340789522	-0.0123486068018451	-0.0925623551472205	0.00177558405028804	0.000861084909424008	-0.0467659185405455	-0.00989427375596694	0.0138800522365859	0.00267778063592043	-0.00421211218737548	-4.2337479198123e-05	-0.00872005778328538	-0.00386655464233745	0.0160845522269763	0.00306629209669328	0.00675038278328403	0.006409360655197	-0.014076704773871	0.0101176875293983	-0.00466622763090827	0.0156595236026542	0.00638005052696818	0.0113220767985166	-0.0358765114329418	0.0127084950911564	-0.0244196098911985	-0.00133666682418749	0.0145294713747557	-0.00604711006040116	-0.00603815489219868	-0.0296341445996593
BESC-1014	-0.0324636176220355	-0.0395019091336878	-0.0124139613893001	-0.0949391440051817	-0.00013275663748452	0.00138107322674119	-0.0474026310027212	-0.00928301781030016	0.00915345187976253	-0.00326099024889714	-0.0117346315853072	-0.00636406026100848	-0.0115378463584799	-0.000272472082774105	0.0172559398948674	0.00440662539521572	-0.00239317621539292	0.00413696639687252	-0.0125962347784236	0.0126730233360937	-0.0029843468890436	0.0113541786430377	0.000424441465568395	0.0120425847402929	-0.0308902838943325	0.00931239768634396	-0.0231868001993987	0.00284667451955485	0.0154561648389343	-0.00304102592382341	-0.00666693733963171	-0.0174048895784347
BESC-1015	-0.0312944631625943	-0.0425304871327055	-0.0155740183732047	-0.0978132465251636	0.00177829977170358	-0.00179560770055697	-0.04679577821654	-0.0126495984766239	0.0118886872843665	0.00308483084274776	-0.00764427106832967	0.00462292212880381	-0.00985387145042998	0.00645013642039165	0.024964148387296	-0.00129870513516591	0.0149551594751344	0.0124696387503355	-0.016808274730881	0.0136618397038731	0.00476970094799614	0.010330700053365	0.00320883067666259	0.0353656366949539	-0.0337947717220551	0.0102356031827959	-0.012881344467645	0.00930554502349629	-0.00882561043666921	0.00246574739269914	0.0095506666146147	-0.0018292728954148
