Geno	Mean_Temp	Diurinal_Range	Isothermality	Temp_Seasonality	Max_Temp	Min_Temp	Temp_Range	Temp_Wettest_Quarter	Temp_Driest_Quarter	Temp_Warmest_Quarter	Temp_Coldest_Quarter	Precipitation	Precip._Wettest_Month	Precip._Driest_Month	Precip_Seasonality	Precip_Wettest_Quarter	Precip_Driest_Quarter	Precip_Warmest_Quarter	Precip_Coldest_Quarter	Full_class
BESC-1009	11.744832992553699	12.0943336486816	44.5430679321289	538.999816894531	28.3600006103516	1.2080000638961799	27.152000427246104	5.88866662979126	18.3653335571289	18.7240009307861	5.4913330078125	1251.0	215.0	15.0	69.2267608642578	613.0	79.0	82.0	554.0	nearSouth
BESC-101	10.7731666564941	10.7243337631226	43.7656440734863	512.614929199219	25.260000228881804	0.755999982357025	24.503999710082997	5.09200000762939	17.0446662902832	17.1906661987305	4.69799995422363	1396.0	219.0	26.0	59.355411529540994	636.0	116.0	123.0	583.0	Columbia
BESC-1010	11.5129995346069	11.6859998703003	43.4165573120117	538.83447265625	27.8719997406006	0.9559999704360959	26.9160003662109	5.699999809265139	18.0666656494141	18.4426670074463	5.1473331451416	1392.0	242.0	14.0	71.072509765625	686.0	78.0	83.0	628.0	nearSouth
BESC-1011	11.3835000991821	11.810333251953098	43.6063117980957	532.4896240234381	27.8920001983643	0.8079999685287479	27.0839996337891	5.67000007629395	17.8560009002686	18.230667114257802	5.06066656112671	1441.0	250.0	15.0	70.969970703125	709.0	81.0	86.0	651.0	nearSouth
BESC-1012	11.620166778564501	12.1616668701172	44.613597869873	537.2713623046881	28.2919998168945	1.03200006484985	27.260000228881804	5.8433332443237305	18.223333358764602	18.5786666870117	5.35533332824707	1328.0	230.0	14.0	70.79554748535159	657.0	78.0	83.0	595.0	nearSouth
BESC-1013	12.0290002822876	12.171999931335401	44.882007598877	542.387878417969	28.587999343872102	1.4679999351501498	27.119998931884798	6.13466644287109	18.776666641235398	18.985332489013697	5.76666688919067	1249.0	209.0	15.0	67.7248077392578	604.0	81.0	83.0	540.0	nearSouth
BESC-1014	11.898500442504899	12.0669994354248	44.7124633789062	538.2921142578119	28.3560009002686	1.3680000305175801	26.988000869751	6.03800010681152	18.600666046142603	18.792667388915998	5.67466640472412	1248.0	205.0	15.0	66.334358215332	596.0	83.0	86.0	533.0	nearSouth
BESC-1015	10.8356666564941	9.59933376312256	47.120231628418	402.455139160156	22.760000228881804	2.3880000114440896	20.371999740600604	6.618000030517581	15.474666595459	16.0553340911865	6.121333122253421	2011.0	335.0	21.0	68.70144653320311	953.0	113.0	119.0	895.0	nearSouth
BESC-1016	11.0526666641235	10.031999588012699	46.2901458740234	429.101501464844	23.8439998626709	2.1719999313354497	21.672000885009798	6.49599981307983	16.0639991760254	16.5833339691162	5.96400022506714	1908.0	322.0	19.0	69.57357788085939	912.0	104.0	111.0	856.0	nearSouth
BESC-1017	11.494999885559098	11.985333442688	44.3901214599609	535.021789550781	27.940000534057603	0.9399999976158141	27.0	5.6306667327880895	18.1753330230713	18.337999343872102	5.31799983978271	1230.0	193.0	17.0	60.3177490234375	556.0	94.0	94.0	499.0	nearSouth
BESC-1018	12.534166336059599	14.685667037963901	47.5202789306641	608.826354980469	31.455999374389602	0.5519999861717221	30.9039993286133	5.72533321380615	20.2066669464111	20.2066669464111	5.485333442687991	907.0	161.0	8.0	78.25587463378909	466.0	36.0	36.0	435.0	farSouth
BESC-1019	12.4048328399658	14.545666694641099	47.503810882568395	602.908386230469	31.2360000610352	0.61599999666214	30.6200008392334	5.6913332939147905	20.006666183471697	20.009332656860398	5.4239997863769505	963.0	173.0	8.0	79.1009216308594	498.0	36.0	46.0	464.0	farSouth
BESC-102	10.7731666564941	10.7243337631226	43.7656440734863	512.614929199219	25.260000228881804	0.755999982357025	24.503999710082997	5.09200000762939	17.0446662902832	17.1906661987305	4.69799995422363	1396.0	219.0	26.0	59.355411529540994	636.0	116.0	123.0	583.0	Columbia
BESC-1020	12.2768335342407	14.346333503723098	47.3476333618164	598.392028808594	30.996000289917003	0.695999979972839	30.300001144409197	5.618000030517581	19.8099994659424	19.8373336791992	5.33866691589355	1025.0	185.0	8.0	79.3347854614258	531.0	38.0	48.0	495.0	farSouth
BESC-1021	12.206833839416499	14.1529998779297	46.9824714660645	597.142822265625	30.8120002746582	0.6880000233650211	30.124000549316396	5.56866645812988	19.704666137695302	19.775333404540998	5.29133367538452	1024.0	184.0	8.0	78.8067932128906	528.0	38.0	49.0	491.0	farSouth
BESC-1022	12.206833839416499	14.1529998779297	46.9824714660645	597.142822265625	30.8120002746582	0.6880000233650211	30.124000549316396	5.56866645812988	19.704666137695302	19.775333404540998	5.29133367538452	1024.0	184.0	8.0	78.8067932128906	528.0	38.0	49.0	491.0	farSouth
BESC-1023	12.3181667327881	14.260999679565401	46.8187789916992	606.9959716796881	31.059999465942397	0.6000000238418579	30.4599990844727	5.5586667060852095	19.9353332519531	20.0046672821045	5.27666664123535	954.0	169.0	8.0	77.5206298828125	488.0	38.0	48.0	453.0	farSouth
BESC-1024	11.6133337020874	13.8239994049072	47.47904968261721	567.883483886719	29.8120002746582	0.695999979972839	29.1160011291504	5.4520001411438	18.7726669311523	18.966667175293	5.205999851226809	1213.0	218.0	10.0	77.6173324584961	620.0	49.0	60.0	575.0	farSouth
BESC-1025	11.741833686828599	13.645667076110803	46.9956855773926	571.2681884765619	29.7999992370605	0.763999998569489	29.0359992980957	5.43333339691162	18.8653335571289	19.0593338012695	5.17266654968262	1172.0	211.0	9.0	77.9469528198242	600.0	46.0	57.0	557.0	farSouth
BESC-1026	11.741833686828599	13.645667076110803	46.9956855773926	571.2681884765619	29.7999992370605	0.763999998569489	29.0359992980957	5.43333339691162	18.8653335571289	19.0593338012695	5.17266654968262	1172.0	211.0	9.0	77.9469528198242	600.0	46.0	57.0	557.0	farSouth
BESC-1027	11.741833686828599	13.645667076110803	46.9956855773926	571.2681884765619	29.7999992370605	0.763999998569489	29.0359992980957	5.43333339691162	18.8653335571289	19.0593338012695	5.17266654968262	1172.0	211.0	9.0	77.9469528198242	600.0	46.0	57.0	557.0	farSouth
