SRA_key	Sample_ID
SRR1570938	HOMC-21-1
SRR1570939	KLNA-20-3
SRR1570939	KLNA-20-3
SRR1570940	KTMA-12-3
SRR1570940	KTMA-12-3
SRR1570941	LILA-26-4
SRR1570941	LILA-26-4
SRR1570942	LILB-26-1
SRR1570942	LILB-26-1
SRR1570943	LILB-26-5
SRR1570943	LILB-26-5
SRR1570944	MCMN-27-3
SRR1570944	MCMN-27-3
SRR1570945	MCMN-27-5
SRR1570945	MCMN-27-5
SRR1570946	MTSM-27-3
SRR1570946	MTSM-27-3
SRR1570947	SKWE-24-4
SRR1570947	SKWE-24-4
SRR1570948	SKWE-24-5
SRR1570948	SKWE-24-5
SRR1570949	BESC-16
SRR1570949	BESC-16
SRR1570950	BESC-27
SRR1570950	BESC-27
SRR1570951	BESC-45
SRR1570951	BESC-45
SRR1570952	BESC-46
SRR1570952	BESC-46
SRR1570954	BESC-49
SRR1570954	BESC-49
SRR1570955	BESC-84
SRR1570955	BESC-84
SRR1570956	BESC-85
SRR1570956	BESC-85
SRR1570957	BESC-109
SRR1570957	BESC-109
SRR1570958	BESC-109
SRR1570958	BESC-109
SRR1570959	BESC-126
SRR1570959	BESC-126
SRR1570960	BESC-144
SRR1570960	BESC-144
SRR1570961	BESC-148
SRR1570961	BESC-148
SRR1570979	BESC-191
SRR1570979	BESC-191
SRR1570980	BESC-192
SRR1570980	BESC-192
SRR1570981	BESC-204
SRR1570981	BESC-204
SRR1570983	BESC-212
SRR1570983	BESC-212
SRR1570984	BESC-269
SRR1570984	BESC-269
SRR1570985	BESC-284
SRR1570985	BESC-284
SRR1570986	BESC-284
SRR1570986	BESC-284
SRR1570988	BESC-288
SRR1570988	BESC-288
SRR1570990	BESC-330
SRR1570990	BESC-330
SRR1570991	BESC-342
SRR1570991	BESC-342
SRR1570992	BESC-344
SRR1570992	BESC-344
SRR1570994	BESC-363
SRR1570994	BESC-363
SRR1570996	BESC-378
SRR1570996	BESC-378
SRR1570997	BESC-391
SRR1570997	BESC-391
SRR1570998	BESC-392
SRR1570998	BESC-392
SRR1570999	BESC-417
SRR1570999	BESC-417
SRR1571000	BESC-422
SRR1571000	BESC-422
SRR1571002	BESC-424
SRR1571002	BESC-424
SRR1571003	BESC-427
SRR1571003	BESC-427
SRR1571004	BESC-427
SRR1571004	BESC-427
SRR1571005	BESC-442
SRR1571005	BESC-442
SRR1571007	BESC-444
SRR1571007	BESC-444
SRR1571008	BESC-457
SRR1571008	BESC-457
SRR1571009	BESC-458
SRR1571009	BESC-458
SRR1571010	BESC-469
SRR1571010	BESC-469
SRR1571011	BLCG-28-3
SRR1571011	BLCG-28-3
SRR1571012	CHWH-27-5
SRR1571012	CHWH-27-5
SRR1571013	CHWH-27-5
SRR1571013	CHWH-27-5
SRR1571014	CHWI-27-4
SRR1571014	CHWI-27-4
SRR1571015	FNYI-28-1
SRR1571015	FNYI-28-1
SRR1571016	HARC-26-1
SRR1571016	HARC-26-1
SRR1571017	HARC-26-3
SRR1571017	HARC-26-3
SRR1571018	HARC-26-5
SRR1571018	HARC-26-5
SRR1571019	HOMA-21-5
