Geno,Prediction,Metadata
BESC-464,48.522580012156844,48.5185958
KLND-20-2,53.068968219636794,51.56666667
BESC-429,48.39783493005438,48.5182161
BESC-1014,43.92470152708201,44.04514
BESC-114,46.1881651388049,46.11603088
SKWE-24-4,50.08084753507955,50.21666667
LILC-26-5,50.45745950604882,50.5
DENA-17-4,52.89548187230487,52.76666667
BESC-136,46.22846433126747,46.11039723
BESC-1093,40.90322249826281,40.67557
CA-05-01,39.1452857693034,39.31732
BESC-1125,39.881798093923464,39.7839
BESC-398,48.26625756178054,48.52453781
BESC-901,47.797109711077034,47.84785738
BESC-1022,42.66721254096427,42.49598
BESC-211,47.1031647167465,47.09827694
BESC-228,47.09716401976544,47.09744437
BESC-163,47.362067807659066,47.0728154
BESC-827,47.160720618755036,47.08954157
BESC-1004,44.3188987558017,44.46276
SKWF-24-3,50.08874631586236,50.25
CMBF-28-1,50.10525144620222,49.95
BESC-801,47.16533851859305,47.07514012
BESC-858,48.01189348886681,47.85955802
KLNE-20-3,52.01517915283691,51.73333333
BESC-56,46.121473586613995,46.09937595
BESC-284,47.79475140073658,47.84552637
BESC-1127,39.893756300399886,39.75774
BESC-186,47.759007548529986,47.08511408
KLNA-20-5,51.819215572556466,51.11666667
BESC-1160,42.62886984118651,42.94014
BESC-855,48.104264888990684,47.86150111
HRSP-27-5,49.35046826758911,49.23333333
BESC-177,47.0570358730446,47.08114006
BESC-436,48.503852489095394,48.51592742
BESC-444,48.425122359005,48.52330693
BESC-814,47.088545692843795,47.08955993
BESC-853,48.524717324962026,47.86115519
BESC-149,47.097736517526876,47.06447507
BESC-857,47.82323239021058,47.86008968
BESC-1006,44.12924882770577,44.36358201
BESC-194,46.33901285939818,47.08929213
BESC-301,48.07753798046285,47.84430136
BESC-412,48.171958965449015,48.50822437
BESC-1171,43.276081710916976,43.41511518
BESC-338,48.53498502779255,48.49184345
BESC-50,46.18596335620132,46.09891721
BESC-48,46.26547674577661,46.10007559
BESC-465,48.44961578292663,48.5183798
BESC-217,47.06175331989074,47.1044876
BESC-1216,46.96302620875036,46.95082778
BESC-154,47.08528410317012,47.06842387
BESC-24,46.073821328902376,46.16556365
DENC-17-5,52.68939383571104,52.83333333
BESC-1238,46.12549736358656,45.38189722
BESC-883,48.132246173887246,47.84020613
CA-05-02,39.36428678595401,39.31732
HRSO-27-5,50.14673256330535,49.28333333
BESC-25,45.97221565564607,46.16699344
BESC-200,47.07080693396012,47.0920828
BESC-1165,43.295085292839595,43.16193
BESC-119,46.18865081761045,46.1082435
BESC-1065,41.39719264804997,41.31
HARC-26-5,49.58273221561898,49.76666667
BESC-1179,43.94451720666044,43.79471666
BESC-1109,40.745092974339634,40.51278
BESC-1029,42.40901432452521,42.59058
