,yhat,metadata
GW-9907,47.36124948094645,47.11666667
GW-9863,48.49653953960057,47.68333333
GW-9828,47.898783826064836,47.73333333
GW-11014,48.226547652213306,47.0
GW-9773,49.12197652677177,48.71666667
GW-9965,46.49484856969248,45.95
GW-9801,48.44178963856059,48.5
GW-9830,48.77000936291765,47.73333333
GW-9954,46.054221323592,46.15
GW-7996,46.86803657909462,46.1
GW-11025,48.06285187888125,48.4
GW-10997,48.56609260210839,48.4
GW-9892,47.07617414552638,47.08333333
GW-9596,46.026298259805785,44.75
GW-2683,47.06643964532266,
GW-11039,46.916900294605476,46.1
GW-9948,47.83390898920364,46.05
GW-9903,47.20670992956704,47.11666667
GW-9867,48.24287067023591,47.2
GW-9786,48.76632036405577,48.91666667
GW-9856,48.04854783950631,47.68333333
GW-11043,46.74684944279319,46.1
GW-7992,46.06746968369189,46.0
GW-9834,47.92887543015036,47.73333333
GW-9950,48.331177812858556,46.05
GW-2365,46.50949236897578,
GW-11021,48.52719442019552,48.4
GW-9896,47.8460879100076,47.08333333
GW-10993,49.02037877763184,48.4
GW-9777,48.71979997529288,48.71666667
GW-1950,45.92071863502202,
GW-9961,47.843204072932366,45.95
GW-9805,48.957118903334646,48.51666667
GW-9842,49.11849621714494,47.73333333
GW-9792,47.88871004751879,48.5
GW-9809,48.277541903941,48.51666667
GW-9838,48.22865383932411,47.73333333
GW-9917,47.03366885642237,47.1
GW-9873,47.64045216069536,47.2
GW-9582,48.19896199816654,47.16666667
GW-7977,45.95232668656402,46.11916667
GW-9811,48.40187562919589,48.51666667
GW-9763,48.83874729415758,48.81666667
GW-11035,46.34027710017709,44.5
GW-9882,47.2845820008669,47.2
GW-10987,48.77144765030009,48.4
GW-7986,46.72255531220673,46.12888889
GW-9820,48.88522434312329,
GW-9877,48.29779205438338,47.2
GW-9958,46.86300797568976,46.15
GW-7973,46.39943966562282,45.55
GW-11018,49.23374330019246,48.4
GW-11053,48.6660416788023,47.0
GW-9969,45.861059546357566,45.95
GW-9846,47.66440212116291,47.73333333
GW-9922,47.23147887136482,47.1
GW-9796,48.63034063742659,48.5
GW-11031,46.570357570354446,44.5
GW-10983,48.597196219120896,48.4
GW-9886,47.16894163128119,47.2
GW-9756,48.422790619168914,48.81666667
GW-9577,47.749710992572055,47.16666667
GW-9824,48.797799632641016,
GW-7982,46.333454946075854,46.13333333
GW-9971,45.769181321682225,45.95
GW-9815,48.68799483085389,48.51666667
GW-9767,48.59931251093347,48.81666667
GW-11045,45.86227030363994,46.1
GW-9769,48.41463543788911,48.71666667
GW-10955,46.85240405670488,44.5
GW-9780,47.711600743047235,48.91666667
GW-9850,48.5955721884738,47.73333333
GW-9905,47.263898624317804,47.11666667
GW-9579,48.019841320670366,47.16666667
GW-9861,48.386355252164755,47.68333333
GW-9888,47.45344812507228,47.08333333
GW-9758,47.76282349531855,48.81666667
GW-9967,46.050662819962724,45.95
GW-9803,48.694145777091244,48.5
GW-9848,48.141921513311644,47.73333333
GW-9798,49.07505399048,48.5
GW-9771,47.881786307544346,48.71666667
GW-11016,48.07003459515375,47.0
GW-10995,48.21889776791845,48.4
GW-9588,49.074463133826946,47.45
GW-9890,47.75202405205437,47.08333333
GW-11027,47.79169720138244,48.4
GW-9879,47.069414687577975,47.2
GW-2593,46.61785262802569,
GW-9832,48.61000754220194,47.73333333
GW-9956,47.089415284910736,46.15
GW-7994,46.96534672326823,46.0
GW-7988,45.69250447180745,46.08333333
GW-9901,47.15123257583505,47.11666667
GW-9865,48.21658083367097,47.2
GW-9594,45.81687015839287,44.75
GW-10989,49.209461006284315,48.4
GW-11041,47.24761830016145,46.1
GW-9784,48.62083146470468,48.91666667
GW-9854,48.067134878796566,47.68333333
GW-9894,48.22106405448551,47.08333333
GW-7979,46.04352328854747,46.11666667
GW-7990,46.250920515407486,46.08333333
GW-9836,48.104937233181246,47.73333333
GW-9952,48.18467568624092,46.05
GW-9919,47.152457136514855,47.1
GW-9963,48.55644896724514,45.95
GW-9807,49.31335946365276,48.51666667
GW-9775,48.3587866720078,48.71666667
GW-4610,46.17211273612797,45.96666667
GW-11012,48.453480522048196,47.0
GW-9840,48.43774253600313,47.73333333
GW-9779,49.1814752146888,48.71666667
GW-2572,46.81543556219326,
GW-9898,47.81950255958578,47.08333333
GW-9580,48.29885115105602,47.16666667
GW-7975,47.18560479116838,45.55
GW-9915,47.21460826673532,47.1
GW-9871,47.5703987612428,47.2
GW-9761,48.077045105616925,48.81666667
GW-9788,47.87084197547511,48.91666667
GW-9858,48.665605585005046,47.68333333
GW-9813,48.302755248199375,48.51666667
GW-7984,45.82559304498729,46.11666667
GW-9822,48.3087969933798,
GW-9869,47.71237178631057,47.2
GW-9598,48.24740468825345,47.06666667
GW-9880,47.16891534644869,47.2
GW-10985,48.29009952691956,48.4
GW-11037,46.804840285444634,46.1
GW-10999,49.306075436202235,48.4
GW-9911,47.37746216650854,47.1
GW-9875,47.18484444449471,47.2
